latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
37.9692164,23.7307351,Entire home/apt,90,1,1,0.05
37.97009,23.7402,Entire home/apt,56,1,1,0.37
37.9775759,23.7524634,Entire home/apt,120,1,1,0.06
37.9933,23.72265,Entire home/apt,55,1,1,0.19
37.9765311,23.7278754,Entire home/apt,90,1,1,0.07
37.9889841,23.7494411,Entire home/apt,68,1,1,0.07
37.9639513,23.7230696,Entire home/apt,64,1,1,0.09
37.9774849,23.7314695,Entire home/apt,292,1,1,0.11
38.0001099,23.7253923,Entire home/apt,220,1,1,0.07
37.97976,23.72491,Entire home/apt,103,1,1,0.07
38.00986,23.73421,Entire home/apt,58,1,1,0.07
37.9678125,23.7310625,Entire home/apt,169,1,1,0.13
37.9856621,23.7632247,Entire home/apt,50,1,1,0.07
37.9856621,23.7632247,Entire home/apt,58,1,1,0.06
37.9856621,23.7632247,Entire home/apt,49,1,1,0.06
37.9856621,23.7632247,Entire home/apt,69,1,1,0.06
37.985556,23.7398775,Entire home/apt,102,1,1,0.16
37.985556,23.7398775,Entire home/apt,84,1,1,0.29
38.0092871,23.7284431,Entire home/apt,52,1,1,0.07
37.9884194,23.7365305,Entire home/apt,100,1,1,0.07
37.97912269,23.73701943,Entire home/apt,100,1,1,0.15
37.9824413,23.7352115,Entire home/apt,129,1,1,0.07
37.96819,23.72413,Entire home/apt,172,1,1,0.91
37.97005,23.72569,Entire home/apt,383,1,1,0.31
37.95272264,23.72306954,Entire home/apt,80,1,1,0.07
37.99177059,23.73036542,Entire home/apt,64,1,1,0.4
37.97561163,23.73209661,Entire home/apt,224,1,1,0.07
37.9841253,23.7337076,Entire home/apt,69,1,1,0.51
37.9841253,23.7337076,Entire home/apt,76,1,1,0.1
37.9841253,23.7337076,Entire home/apt,77,1,1,0.14
37.9841253,23.7337076,Entire home/apt,83,1,1,0.09
37.97535994,23.73078434,Entire home/apt,158,1,1,0.07
37.9774423,23.7253271,Entire home/apt,113,1,1,0.44
37.96625881,23.75232868,Entire home/apt,240,1,1,0.08
37.9799022,23.7399842,Entire home/apt,66,1,1,1
37.9837298,23.7259882,Entire home/apt,43,1,1,0.41
37.96800081,23.73169622,Entire home/apt,144,1,1,0.15
37.9691919,23.7119045,Entire home/apt,50,1,1,0.09
37.9691919,23.7119045,Entire home/apt,46,1,1,0.09
37.97793051,23.72927085,Entire home/apt,99,1,1,0.16
37.95806801,23.7392721,Entire home/apt,66,1,1,0.09
37.9742339,23.7334029,Entire home/apt,123,1,1,0.09
37.9542915,23.7209897,Entire home/apt,45,1,1,0.68
37.9785168,23.7246414,Entire home/apt,126,1,1,0.17
37.9896654,23.7217737,Entire home/apt,53,1,1,0.13
37.9907312,23.7218405,Entire home/apt,179,1,1,0.24
37.9958265,23.7274379,Entire home/apt,35,1,1,0.21
37.97770765,23.72281675,Entire home/apt,63,1,1,0.15
37.9998,23.73897,Entire home/apt,79,1,1,0.15
37.9709499,23.7429302,Entire home/apt,80,1,1,0.09
37.95298,23.7252,Entire home/apt,75,1,1,0.12
37.97895032,23.72287069,Entire home/apt,74,1,1,0.11
37.9828487,23.7142672,Entire home/apt,58,1,1,0.15
37.9837715,23.7316405,Entire home/apt,225,1,1,0.11
37.98014089,23.72511952,Entire home/apt,71,1,1,0.41
37.96213454,23.72737805,Entire home/apt,134,1,1,0.3
37.98755156,23.72286187,Entire home/apt,32,1,1,0.1
37.9760821,23.7326493,Entire home/apt,397,1,1,0.14
37.9672164,23.7443532,Entire home/apt,29,1,1,0.2
38.00652245,23.72757287,Entire home/apt,85,1,1,0.13
37.99013,23.73569,Entire home/apt,97,1,1,0.2
37.9846505,23.7222663,Entire home/apt,78,1,1,0.11
37.96455585,23.7271455,Entire home/apt,55,1,1,0.12
37.98322359,23.72623644,Entire home/apt,110,1,1,0.16
37.98153,23.72647,Entire home/apt,110,1,1,0.19
37.98355,23.72679,Entire home/apt,110,1,1,0.18
37.98187,23.72451,Entire home/apt,110,1,1,0.17
38.0053322,23.74476,Entire home/apt,30,1,1,0.15
37.9741736,23.7475244,Entire home/apt,88,1,1,0.15
38.01517,23.73482,Entire home/apt,48,1,1,0.11
37.986497,23.7330492,Entire home/apt,100,1,1,0.15
37.986497,23.7330492,Entire home/apt,100,1,1,0.15
37.98151,23.72474,Entire home/apt,135,1,1,0.21
37.97285686,23.73250675,Entire home/apt,320,1,1,0.12
37.9793009,23.7441766,Entire home/apt,177,1,1,0.15
37.98584,23.73874,Entire home/apt,95,1,1,0.13
37.96947,23.74825,Entire home/apt,64,1,1,0.12
37.98589961,23.73884932,Entire home/apt,95,1,1,0.28
37.98602,23.7369,Entire home/apt,75,1,1,0.14
